url,businessName,address,email,phone,registerNumber,scrapedAt,error
"https://www.booking.com/hotel/gb/5-minuets-walk-to-tottenham-stadium.html","","","","","","2025-07-31T06:54:28.591Z","No legal information section found"
"https://www.booking.com/hotel/gb/wimbledon-apartment-london1.html","Companies HouseTrade register number: SC521060Close","Unit 6 The Claremont Centre 15-45 Durham Street, G41 1BS Glasgow, United Kingdom, United Kingdom","accounts@pillowpartners.co.uk","+4401292 434 654","","2025-07-31T06:54:40.922Z",""
"https://www.booking.com/hotel/gb/hobson-woods-apartments-greater-london.html","Company HouseTrade register number: 12261303Close","130 Plough Road, SW11 2AA London, London, United Kingdom","shortlets@mxestates.co.uk","+4402072052544","12261303","2025-07-31T06:54:55.851Z",""
"https://www.booking.com/hotel/gb/stunning-4-bedroom-house-with-a-spacious-kitchen.html","","","","","","2025-07-31T06:55:16.820Z","No legal information section found"
"https://www.booking.com/hotel/gb/north-london-huge-7-bedroom-house-with-a-gym-and-table-tennis.html","These are the property host's contact and registration details. The property itself may have different details. The property's details, including its address, will be shared in the booking confirmation. This host has committed to only offer products or services that comply with applicable EU law.Close","19 Lawrence garden, nw44ju LONDON, United Kingdom","","","","2025-07-31T06:55:19.048Z",""
"https://www.booking.com/hotel/gb/wembley-stadium-4-bed-pad-free-parking.html","Companies houseTrade register number: 13594162Close","86-90 Paul street, EC2A4NE London, United Kingdom","info@brightworksproperty.co.uk","+447397903304","13594162","2025-07-31T06:55:33.035Z",""
"https://www.booking.com/hotel/gb/ancona-house-6mn-walk-to-train-station.html","Henley Alexander LtdTrade register number: 10957946Close","Office 7 35-37 Ludgate Hill, EC4M 7JN London, GB, United Kingdom","moctar.adeleke@henleyalexander.com","+447487529054","10957946","2025-07-31T06:56:02.322Z",""
"https://www.booking.com/hotel/gb/cushla-house.html","","","","","","2025-07-31T06:56:14.604Z","No legal information section found"
"https://www.booking.com/hotel/gb/cosy-retreat-in-heart-of-wembley.html","Silverline Property GroupTrade register number: 12879608Close","12 Blenheim Gardens, HA9 7NP Wembley, United Kingdom","theo@silverlinepropertygroup.co.uk","+447956986552","12879608","2025-07-31T06:56:15.156Z",""
"https://www.booking.com/hotel/gb/mews-house-in-wanstead-east-london.html","","","","","","2025-07-31T06:56:37.292Z","No legal information section found"
"https://www.booking.com/hotel/gb/long-stay-contractor-pad-suitable-for-families-ilford-4-bed-2-bath.html","","","","","","2025-07-31T06:56:49.495Z","No legal information section found"
"https://www.booking.com/hotel/gb/destination-london-docklands.html","","","","","","2025-07-31T06:56:59.604Z","No legal information section found"
"https://www.booking.com/hotel/gb/4-bedroom-house-in-east-london-greater-london.html","","","","","","2025-07-31T06:57:40.047Z","No legal information section found"
"https://www.booking.com/hotel/gb/east-london-house-sleeps-9-with-parking-spaces.html","","","","","","2025-07-31T06:58:01.889Z","No legal information section found"
"https://www.booking.com/hotel/gb/luxurious-3-bed-house-in-greater-london-chigwell.html","Dwellers Delight Luxury Stay LtdTrade register number: 12116438Close","Kemp House, L52 - 160 City Rd,, EC1V 2NX London, United Kingdom","","","12116438","2025-07-31T06:58:04.155Z",""
"https://www.booking.com/hotel/gb/barking-leisure-and-contractor-stays.html","","","","","","2025-07-31T06:58:31.004Z","No legal information section found"
"https://www.booking.com/hotel/gb/family-friendly-home-in-london.html","","","","","","2025-07-31T06:59:01.256Z","No legal information section found"
"https://www.booking.com/hotel/gb/london-city-airport-home-4-u.html","","","","","","2025-07-31T06:59:34.021Z","No legal information section found"
"https://www.booking.com/hotel/gb/cozy-london-house-with-3-bedrooms.html","Companies HouseTrade register number: 09141571Close","Johnston Carmichael Birchin Court 20 Birchin Lane, EC3V 9DU London, United Kingdom","","","09141571","2025-07-31T06:59:36.288Z",""
"https://www.booking.com/hotel/gb/chic-2-bedroom-modern-cave-house-greater-london.html","Companies HouseTrade register number: 14898116Close","61 woodford rd, E18 2EA London, London, United Kingdom","yasin@truclothing.com","+447947198552","14898116","2025-07-31T07:00:03.237Z",""
"https://www.booking.com/hotel/gb/the-woodford-retreat.html","Trade register number: 965389Close","Sunway House Raglan Road, NR32 2LW Lowestoft, United Kingdom","cottages.booking.com@cottages.com","+441282847582","965389","2025-07-31T07:00:09.769Z",""
"https://www.booking.com/hotel/gb/comfortable-2-bed-home-in-ilford.html","Companies HouseTrade register number: 16148594Close","42 Sedbergh Road, SO16 9GY Southampton, United Kingdom","candybalfour121@gmail.com","+4407716323181","16148594","2025-07-31T07:00:23.317Z",""
"https://www.booking.com/hotel/gb/royal-boutique-kensington-lodge.html","","","","","","2025-07-31T07:00:45.907Z","No legal information section found"
"https://www.booking.com/hotel/gb/cozy-3bd-retreat-in-london.html","Registrar of CompaniesTrade register number: 09809701Close","50 Seymour Street, W1H 7JG London, England, United Kingdom","","","09809701","2025-07-31T07:00:48.130Z",""
"https://www.booking.com/hotel/gb/isleworth-house-london-by-smart-corporate-stays.html","Smart Corporate Stays LtdTrade register number: 13019835Close","12 Keswick Drive Newbold, S41 8HP Chesterfield, Derbyshire, United Kingdom","","","13019835","2025-07-31T07:01:15.269Z",""
"https://www.booking.com/hotel/gb/modern-4-bed-home-in-east-ham-perfect-for-business-contractors-sleeps-8.html","Amber Stays LtdTrade register number: 16102107Close","Baddiley Lane Farmhouse, CW5 8BP Nantwich, United Kingdom","enquiries@amberstays.com","+447500833989","16102107","2025-07-31T07:01:25.200Z",""
"https://www.booking.com/hotel/gb/green-garden-in-northwest-london.html","","","","","","2025-07-31T07:01:37.490Z","No legal information section found"
"https://www.booking.com/hotel/gb/pearl-garden-in-wembley.html","","","","","","2025-07-31T07:02:01.527Z","No legal information section found"
"https://www.booking.com/hotel/gb/slendermorrs-palace.html","","","","","","2025-07-31T07:02:51.383Z","No legal information section found"
"https://www.booking.com/hotel/gb/luxury-5-bed-home-w-cinema-games-room-garden-pass-the-keys.html","Companies houseTrade register number: 09546159Close","85 Great Portland Street 1st floor, 85 Great Portland Street, London, W1W 7LT, W1W 7LT London, United Kingdom","","","09546159","2025-07-31T07:02:53.593Z",""
"https://www.booking.com/hotel/gb/lovely-4-bed-house-london.html","TD Holiday Homes LTDTrade register number: 11247086Close","52 Hillview Drive, Se28 0LH London, United Kingdom","alex@tegdaffy.co.uk","+447730772099","11247086","2025-07-31T07:03:12.411Z",""
"https://www.booking.com/hotel/gb/london-getaway-20mins-from-central-london.html","","","","","","2025-07-31T07:03:42.847Z","No legal information section found"
"https://www.booking.com/hotel/gb/11-devalls-close.html","These are the property host's contact and registration details. The property itself may have different details. The property's details, including its address, will be shared in the booking confirmation. This host has committed to only offer products or services that comply with applicable EU law.Close","6, Prykes Drive, Cm11tp Chelmsford, United Kingdom","11devellsclose@gmail.com","+447737277864","","2025-07-31T07:03:55.044Z",""
"https://www.booking.com/hotel/gb/beautiful-2-bed-house-in-london.html","Companies HouseTrade register number: 09141571Close","Johnston Carmichael Birchin Court 20 Birchin Lane, EC3V 9DU London, United Kingdom","","","09141571","2025-07-31T07:03:57.320Z",""
"https://www.booking.com/hotel/gb/nicely-decorated-3-bedroom-house-near-heathrow-london.html","","","","","","2025-07-31T07:04:17.844Z","No legal information section found"
"https://www.booking.com/hotel/gb/spacious-4-bed-house-direct-link-to-central-london-pass-the-keys.html","Companies houseTrade register number: 09546159Close","85 Great Portland Street 1st floor, 85 Great Portland Street, London, W1W 7LT, W1W 7LT London, United Kingdom","","","09546159","2025-07-31T07:04:31.850Z",""
"https://www.booking.com/hotel/gb/cosy-chic-2-bed-hse-nr-canary-wharf.html","","","","","","2025-07-31T07:05:07.753Z","No legal information section found"
"https://www.booking.com/hotel/gb/charming-3-bedroom-family-home.html","Designed Living Group LtdTrade register number: 12682016Close","14 Victoria Square Droitwich Spa, WR9 8DS Worcestershire, United Kingdom","","","12682016","2025-07-31T07:05:22.355Z",""
"https://www.booking.com/hotel/gb/the-royal-boutique-regent-lodge-by-london-heathrow-uk-private-apartment-offers-f.html","","","","","","2025-07-31T07:05:47.011Z","No legal information section found"
